stn_id,stn_addr,stn_lat,stn_lng,nearby_id,nearby_km
ST-881,서울특별시 서초구 양재대로2길 74,37.455799,127.016289,ST-880,0.27431287185027775
ST-880,서울특별시 서초구 양재대로2길 74,37.456234,127.019348,ST-881,0.27431287185027775
ST-88,서울특별시 마포구 상암동 1691,37.577393,126.887474,ST-2150,0.16595376268623044
ST-879,서울특별시 서초구 바우뫼로 43,37.471928,127.02684,ST-889,0.3585925186328045
ST-878,서울특별시 동작구 사당로 지하 218,37.48447,126.971428,ST-1152,0.02088958960279212
ST-877,서울특별시 동작구 노량진로 191,37.513359,126.948059,ST-700,0.42185638231982264
ST-876,서울특별시 구로구 오리로 지하 1154,37.486385,126.839211,ST-1239,0.039531895327264435
ST-875,서울특별시 구로구 오리로 1102-10,37.482105,126.845726,ST-1243,0.39980751598178454
ST-874,서울특별시 구로구 천왕로 29 천왕 이펜하우스 4단지,37.480705,126.838959,ST-1958,0.1747041023637442
ST-873,서울특별시 구로구 구로중앙로 174,37.503117,126.880386,ST-1272,0.1670507636668502
ST-872,서울특별시 구로구 경인로3길 지하 64,37.49279,126.824524,ST-1232,0.07330911676574974
ST-871,서울특별시 구로구 서해안로 2340-10,37.493671,126.843704,ST-680,0.1512161895791974
ST-870,서울특별시 구로구 경인로40길 47,37.494282,126.859215,ST-2463,0.10479940276520107
ST-87,서울특별시 마포구 월드컵로 240,37.56842,126.899429,ST-89,0.25891551413305763
ST-869,서울특별시 노원구 동일로 지하 1662,37.67625,127.055504,ST-915,0.08470052458392582
ST-868,서울특별시 노원구 동일로 1652,37.673618,127.055252,ST-1119,0.15279172336168728
ST-867,서울특별시 노원구 노원로22길 1,37.648209,127.070221,ST-3110,0.10257809455818402
ST-866,서울특별시 노원구 월계로 378,37.631622,127.061615,ST-2713,0.3933087838691196
ST-865,서울특별시 강북구 삼양로155길 9-7,37.661648,127.013344,ST-1387,0.2384384308960682
ST-864,서울특별시 도봉구 삼양로 574,37.654472,127.012756,ST-1131,0.14380113758003976
ST-863,서울특별시 강북구 도봉로89길 13,37.639671,127.0252,ST-643,0.1418195531340154
ST-862,서울특별시 강북구 한천로150길 67,37.644737,127.026566,ST-1100,0.37449625410716586
ST-861,서울특별시 강북구 오현로31길 85-7,37.631123,127.036034,ST-860,0.29203843440536303
ST-860,서울특별시 강북구 오현로25마길 27,37.633717,127.035515,ST-859,0.07627444745939559
ST-86,서울특별시 마포구 월드컵북로 396,37.579399,126.88916,ST-2164,0.1562844244754023
ST-859,서울특별시 강북구 한천로 935,37.634377,127.035751,ST-860,0.07627444745939559
ST-857,서울특별시 중랑구 동일로 지하 797,37.602077,127.079582,ST-2285,0.12005363718337979
ST-856,서울특별시 중랑구 봉화산로 194,37.606499,127.095451,ST-2632,0.12397852296511466
ST-855,서울특별시 중랑구 봉화산로 179,37.606152,127.092598,ST-2632,0.13093878128579176
ST-854,서울특별시 중랑구 동일로 778,37.599957,127.080002,ST-1093,0.15274570821992275
ST-853,서울특별시 중랑구 숙선옹주로 66,37.616024,127.085968,ST-2287,0.34182741983497433
ST-852,서울특별시 중랑구 용마산로 지하 227,37.574299,127.086914,ST-590,0.07935479680339058
ST-851,서울특별시 중랑구 면목로 460,37.593231,127.086914,ST-912,0.07825856419354567
ST-850,서울특별시 중랑구 면목로 480,37.595219,127.085999,ST-1375,0.12374058828345758
ST-85,서울특별시 마포구 월드컵북로47길 10,37.566246,126.896179,ST-225,0.0037806327280349478
ST-849,서울특별시 중랑구 면목로 325,37.58099,127.088242,ST-573,0.39575563346002574
ST-848,서울특별시 중랑구 동일로 지하 901,37.610722,127.077477,ST-570,0.0
ST-847,서울특별시 중랑구 공릉로 12,37.611511,127.077888,ST-2289,0.0437657214687957
ST-846,서울특별시 성북구 솔샘로17길 8,37.612774,127.006531,ST-1383,0.16126186970946108
ST-845,서울특별시 성북구 인촌로 95,37.586273,127.029877,ST-2935,0.09475811827677064
ST-843,서울특별시 성북구 동소문로22길 4,37.592522,127.017677,ST-2226,0.12353319976646192
ST-842,서울특별시 성북구 동소문로 2,37.588448,127.006706,ST-825,0.049519045754396515
ST-841,서울특별시 성북구 성북로 62,37.592758,127.002357,ST-1424,0.025706229527768694
ST-840,서울특별시 송파구 석촌호수로12길 3-5,37.514088,127.09903,ST-1584,0.113237419684184
ST-84,서울특별시 마포구 월드컵북로 424,37.580811,126.88665,ST-2164,0.16101801936075646
ST-839,서울특별시 송파구 송파대로 지하 354,37.499413,127.112869,ST-1793,0.13917216977765726
ST-838,서울특별시 송파구 송파대로 지하 257,37.493179,127.118546,ST-2606,0.06981656679606323
ST-837,서울특별시 강서구 강서로 지하 54,37.532551,126.846321,ST-2054,0.11054380859736357
ST-836,서울특별시 강서구 곰달래로37길 13,37.53178,126.854485,ST-2887,0.01295187550278624
ST-835,서울특별시 강서구 강서로 304,37.552914,126.836571,ST-2888,0.2944896469050885
ST-834,서울특별시 강서구 공항대로 329,37.558197,126.844261,ST-2613,0.21466212564104512
ST-833,서울특별시 강서구 공항대로59길 8,37.551666,126.86409,ST-2994,0.05177766512168838
ST-832,서울특별시 강서구 방화대로47가길 22,37.577213,126.813553,ST-831,0.13772666843857337
ST-831,서울특별시 강서구 방화동 829-11,37.577106,126.811996,ST-832,0.13772666843857337
ST-830,서울특별시 강동구 양재대로 1330 주공아파트,37.52459,127.135422,ST-1420,0.244218949074969
ST-83,서울특별시 마포구 상암산로1길 71,37.580631,126.883675,ST-2977,0.23203904543347184
ST-829,서울특별시 강서구 화곡로 지하 168,37.541412,126.840225,ST-525,0.07639351319380955
ST-828,서울특별시 강서구 방화대로 241 공항중학교,37.562202,126.816246,ST-2476,0.11944212336246379
ST-827,서울특별시 성북구 안암로 69,37.582592,127.028976,ST-2273,0.2456163655965637
ST-826,서울특별시 성북구 성북로 132-1,37.594402,126.99231,ST-1634,0.25587767020208035
ST-825,서울특별시 성북구 동소문로 1,37.588764,127.00631,ST-842,0.049519045754396515
ST-824,서울특별시 강서구 양천로24길 13 마곡센트레빌,37.572563,126.816422,ST-2482,0.3686842669567309
ST-823,서울특별시 강남구 개포로 623,37.494007,127.079514,ST-2867,0.05397725956209878
ST-822,서울특별시 강남구 일원로 127,37.483311,127.084938,ST-1570,0.11086182363733525
ST-821,서울특별시 강남구 논현로 82,37.477509,127.045174,ST-1361,0.20162757281577706
ST-820,서울특별시 강남구 언주로 107,37.483261,127.0523,ST-957,0.25282197063678385
ST-82,서울특별시 마포구 월드컵로 212 마포구청,37.565746,126.901863,ST-2163,0.06238235348801932
ST-819,서울특별시 강남구 선릉로 지하 228,37.494236,127.047462,ST-960,0.07607792257403609
ST-818,서울특별시 강남구 남부순환로 2748,37.486767,127.046761,ST-3185,0.11183830090407584
ST-817,서울특별시 강남구 선릉로 지하 228,37.493759,127.045898,ST-819,0.1478255951202881
ST-816,서울특별시 강남구 강남대로 240,37.485157,127.034073,ST-2962,0.10340040488752841
ST-815,서울특별시 강남구 선릉로 435 원광빌딩,37.504009,127.04908,ST-1247,0.32926397463111706
ST-814,서울특별시 강남구 언주로 337,37.498051,127.044601,ST-966,0.46255733768532337
ST-813,서울특별시 강남구 도곡로 183,37.492199,127.039459,ST-956,0.18328842785240865
ST-812,서울특별시 강남구 테헤란로 지하 156,37.502357,127.04319,ST-966,0.05857410619462715
ST-811,서울특별시 강남구 역삼동 801-7,37.503212,127.042732,ST-812,0.10330032601296968
ST-810,서울특별시 강남구 강남대로 308,37.490551,127.031464,ST-1679,0.17956102533091672
ST-81,서울특별시 마포구 월드컵로42길 22,37.581112,126.880875,ST-77,0.21488030921735307
ST-809,서울특별시 강남구 삼성로 350,37.502396,127.0588,ST-2684,0.3188406996170408
ST-808,서울특별시 강남구 도곡로 447,37.49865,127.059319,ST-2678,0.14529070733348273
ST-807,서울특별시 강남구 도곡로 540,37.500439,127.066223,ST-3240,0.17175630932728952
ST-806,서울특별시 강남구 영동대로 308,37.502213,127.067207,ST-2683,0.13314770640552498
ST-805,서울특별시 강남구 테헤란로 534,37.508091,127.063103,ST-2670,0.07703001898867709
ST-804,서울특별시 강남구 남부순환로 지하 3104,37.496117,127.069443,ST-3178,0.060396768282370304
ST-803,서울특별시 강남구 남부순환로 지하 2814,37.491928,127.056969,ST-1879,0.2055469193110478
ST-802,서울특별시 강남구 테헤란로 435,37.506607,127.05468,ST-1178,0.20645077340694293
ST-801,서울특별시 강남구 봉은사로 531,37.513577,127.055031,ST-2671,0.12357702273947672
ST-800,서울특별시 강남구 영동대로 502,37.509575,127.063408,ST-955,0.10929560658454672
ST-80,서울특별시 마포구 월드컵북로60길 13,37.582657,126.885788,ST-79,0.12164286646415698
